num_routes,route_dist,worst_routes,worst_dist
34,1.2473921971486277,35,1.3833450695339167
35,1.3078224982643718,35,1.3217943861757391
36,1.3071422310569432,35,1.3674779212614396
33,1.2004174997121879,35,1.3453435485259462
33,1.2211894129878118,35,1.3460570232708591
35,1.306770722556692,35,1.3666475183238163
35,1.2764043224541695,35,1.3490037379954884
34,1.2673221280561222,35,1.3288942087235398
35,1.3022256329533235,35,1.3384101560276207
35,1.2941455845720782,35,1.3358700809075259
34,1.2492795447242742,35,1.357527064625998
34,1.2296182549017942,35,1.3706835518324425
35,1.2589066823859412,35,1.3717146773186357
35,1.3068913402957349,35,1.3084794117149698
36,1.3303067917728697,35,1.3413131693771589
33,1.2487907854866478,35,1.3641094209445725
33,1.2206058898074161,35,1.3226936412613952
34,1.2801493663996411,35,1.36777293464786
34,1.2121585620240438,35,1.3576537390032399
35,1.3087295235014693,35,1.3751210096478133
34,1.2450511390836994,35,1.3702103318700694
36,1.3625227502480044,35,1.3351405229950188
34,1.2621428526791902,35,1.3440297540354891
32,1.2642462887651931,35,1.3700560695888271
34,1.2821534128398753,35,1.3152907570203922
34,1.2187889171213442,35,1.3096523213758928
35,1.2877602497023162,35,1.3727701752110306
35,1.2974337562447431,35,1.3777803235367543
34,1.2884440987059946,35,1.3318807243279736
34,1.2567039846646111,35,1.3693257642639196
