id,lat,lon,height,buildings
0,42.056732,-87.687349,0,0
1,42.048548666666669,-87.708039666666679,11.0,9
2,42.048540999999993,-87.707122400000003,29.5,20
3,42.048528000000005,-87.706263000000007,2.5,2
4,42.048589611111112,-87.702974833333329,23.5,18
5,42.048590533333339,-87.701229133333342,15.0,15
6,42.048637666666664,-87.700020111111115,9.5,9
7,42.048436222222222,-87.698224888888888,16.0,9
8,42.04851,-87.697310000000002,1.0,1
9,42.048513899999996,-87.694158700000003,14.0,10
10,42.048386454545451,-87.692832272727273,18.0,11
11,42.048385400000008,-87.691001499999999,14.0,10
12,42.048304250000001,-87.689909749999998,13.5,8
13,42.048645499999999,-87.688079500000001,7.0,2
14,42.048519499999998,-87.687054750000016,19.0,8
15,42.048366999999999,-87.685814250000007,36.0,4
16,42.0486,-87.683969000000005,3.0,1
17,42.0486024,-87.682732599999994,14.0,5
18,42.048647000000003,-87.681023999999994,2.0,1
19,42.048648,-87.679640000000006,7.0,1
20,42.049058000000002,-87.708061125,14.0,8
21,42.049112885714294,-87.707209485714301,49.5,35
22,42.048988999999999,-87.704999999999998,2.0,1
23,42.049047000000002,-87.703478000000004,1.0,1
24,42.049118629629632,-87.702817962962953,30.0,27
25,42.049146607142852,-87.701395892857136,34.0,28
26,42.049151950000009,-87.699862700000011,24.0,20
27,42.049093263157893,-87.698288631578947,29.5,19
28,42.049222857142858,-87.697010428571431,11.0,7
29,42.049187000000003,-87.695304499999992,2.0,2
30,42.048916625000004,-87.694079625000001,10.0,8
31,42.049044476190474,-87.692859523809531,29.5,21
32,42.049112294117649,-87.691147176470579,27.5,17
33,42.049101624999999,-87.689693750000004,17.0,8
34,42.049181000000004,-87.688019499999996,10.5,2
35,42.049376000000002,-87.687580999999994,8.0,1
36,42.049345666666667,-87.68530299999999,10.0,3
37,42.049224249999995,-87.682329750000008,9.0,4
38,42.049009285714284,-87.68118471428572,20.0,7
39,42.049189499999997,-87.679065750000007,9.5,4
40,42.049598999999994,-87.708044000000015,6.0,3
41,42.049682199999992,-87.707120349999997,25.5,20
42,42.049726548387092,-87.702825161290335,31.0,31
43,42.049735599999991,-87.70128720000001,15.5,15
44,42.049752749999996,-87.699748700000015,26.5,20
45,42.049760900000003,-87.698340000000002,33.0,20
46,42.049825249999998,-87.696945249999999,22.0,16
