num_routes,route_dist,worst_routes,worst_dist
40,1.3226293627339061,39,1.3583630648334122
37,1.2336689833113894,39,1.3583630648334122
40,1.3283809088275547,39,1.3583630648334122
39,1.2840969395122244,39,1.3583630648334122
38,1.2757054445183797,39,1.3583630648334122
38,1.2816193047195981,39,1.3583630648334122
40,1.3171633628021908,39,1.3583630648334122
39,1.2995944202772591,39,1.3583630648334122
38,1.2421886317262931,39,1.3583630648334122
38,1.257949354573455,39,1.3583630648334122
37,1.2529033030277645,39,1.3583630648334122
39,1.2728412561180136,39,1.3583630648334122
39,1.3088031409390766,39,1.3583630648334122
39,1.2889433028903312,39,1.3583630648334122
39,1.2630079039548292,39,1.3583630648334122
38,1.2546904861853108,39,1.3583630648334122
39,1.2968348712359443,39,1.3583630648334122
39,1.2974343970556106,39,1.3583630648334122
39,1.2923783017279504,39,1.3583630648334122
37,1.2378015281290544,39,1.3583630648334122
38,1.2836515052538005,39,1.3583630648334122
38,1.2868728259656024,39,1.3583630648334122
37,1.252433486909851,39,1.3583630648334122
37,1.238889759065259,39,1.3583630648334122
39,1.3099735528530942,39,1.3583630648334122
40,1.2917475630201238,39,1.3583630648334122
40,1.3325856674223502,39,1.3583630648334122
38,1.2550355104400381,39,1.3583630648334122
39,1.2784111291771438,39,1.3583630648334122
39,1.2774229452731589,39,1.3583630648334122
